name,billing_id
EASTLAND HEIGHTS WATER ASSOCIATION,142338
EASTSIDE WATER ASSOC,142358
EDGEWOOD WATER COMPANY,142385
"AHTNA ENVIRONMENTAL, INC.",142404
CITY WEST SACRAMENTO,142411
EL DORADO HILLS COMMUNITY SERVICES DIST,142464
EL CAMINO IRR DIST,142517
EL DORADO IRRIG,142622
EL PASO NATURAL GAS,142675
EL PORVENIR CSA#30,142728
ELECTRIC LIGHTWAVE,142807
ELK GROVE WTR SERVICE,142828
ELK POINT COUNTRY CLUB,142857
COUNTY ELKO,142886
ELKO HEAT COMPANY,142912
"EMPIRE MINING CO, LLC",142924
ENERGY OPS MNGMNT/CGG,142932
ENERGY OPS MNGMNT\DGG,142933
ENEGRY OPS MNGMNT/SVP,142934
ENERGY OPS MNGMNT/YPC,142935
ENVIROGEN TECHNOLOGIES,142953
EQUESTRIAN ESTATES HOMEOWNERS ASSOCIATIO,142970
ERSKINE CREEK WTR CO.,142991
ESCAPE BROADBAND,142994
ESMERALDA COUNTY PUBLIC WORKS,142997
ESPARTO CSD,143004
COUNTY EUREKA,143017
EUREKA COUNTY SCHOOL DISTRICT,143083
EXETER IRRIG DIST,143149
"EXTENET SYSTEMS, INC CA",143228
"EXTENET SYSTEMS, INC - NV",143307
EXXON MOBILE PIPELINE CO 2,143518
FAIR OAKS WTR DIST,143677
"FAIRFAX CENTER PROPERTIES, LLC",143690
FAIRFIELD-SUISUN SWR,143703
"FAIRMEAD, MD-33",143717
"FAIRVIEW WATER COMPANY, LLC",143783
FALCON CTV RED BLUFF,143843
FALL RIVER MILLS COM,143888
FARMERS & MERCHANTS BANK,143915
FERRELLGAS (ELK GROVE CA),143929
FERRELLGAS LAKE CO,143944
FERRELLGAS MENDOCINO CO,143959
FERRELLGAS NEVADA COUNTY,143966
FIBERSPHERE COMMUNICATIONS OF CA LLC,143972
FIERO LANE WATER COMPANY,143976
FILER MUTUAL TEL,143980
FIRST MACE MEADOW WATER ASSOC. INC.,143987
FITCH MTN WTR DIST,143994
FLORIN COUNTY WTR,144099
FMC FRESNO,144357
FOLSOM LAKE MUTUAL WATER COMPANY,144358
FOOTHILL ENERGY LLC.,144360
FOOTHILL ENERGY LLC - COLUSA,144361
FORESTHILL PUD,144363
FOREST LAKES MUT WTR,144389
FORESTVILLE WATER DIST,144443
FORT BRAGG TROUT FARM,144468
FPL ENERGY MONTEZUMA WIND LLC,144522
FRANKLIN COUNTY WATER DISTRICT,144574
FRAZIER PARK PUD,144627
FREEDOM TELECOMMUNICATIONS LLC DBA WILCO,144643
FREESTONE WATER SYS,144654
FRENCH GULCH CSA#11 WTR,144680
FRESNO COUNTY CSA #10-A - MANSIONETTE ES,144786
FRESNO CO CSA#34A-BRIGHTON CREST,144812
FRESNO CO CSA 34B-VENTANA HILLS,144818
FRESNO CO CSA 34C-GRANITE CREST,144821
FRESNO CO CSA 39AB-BERAN,144825
FRESNO CO CSA 43-RAISIN,144832
FRESNO CO CSA#44A-FRIANT MHP,144835
FRESNO COUNTY CSA #44-C - TANQUERAY DEVE,144839
FRESNO COUNTY CSA#44-D - MONTE VERDI,144864
FRESNO COUNTY CSA #47 - QUAIL LAKE,144877
FRESNO CO CSA#49-ONEILL,144880
FRESNO COUNTY WATERWORKS DISTRICT #18,144883
FRIED PRIV WTR L,144890
FRONTIER COMM-COLUSA,144894
FRONTIER COMM. ALPINE,144898
FRONTIER - A CITIZENS COMM CO - (CA 2),144899
FRONTIER NEVADA (A CITIZENS COMM. CO.),144900
FRONTIER (PATTERSON),144930
FRUITRIDGE VISTA WTR,144943
FULTON WATER CO.,145003
G-REM INC.,145157
GARBERVILLE SANI DIST,145312
GARDEN FARMS COM WTR,145331
GARDNERVILLE RANCHOS GENERAL IMPROVEMENT,145334
GARDNERVILLE WATER CO.,145345
GAS PIPELINE SERVICES INC.,145348
GASQUET COMMUNITY SERVICES DISTRICT,145352
"GBIS COMMUNICATIONS,LLC",145542
GE HITACHI NUCLEAR ENERGY LLC,145637
GEORGETOWN DIVIDE PUD,145786
GERBER LAS FLORES CSD,145814
GERLACH GENERAL IMPROVEMENT DISTRICT,145992
GILROY ENERGY CENTER LLC,146170
GILROY ENERGY CENTER LLC FEATHER RIVER,146259
"GILROY ENERGY CENTER,LLC FOR LAMBIE ENER",146281
"GILROY ENERGY CENTER,LLC FOR WOLFSKILL E",146303
GILROY ENERGY CENTER LLC YUBA CITY ENERG,146348
GLENBROOK WATER COOPERATIVE,146437
GLIDE WATER DISTRICT,146526
"GOLCONDA WATER, GID",146574
GOLD COUNTRY WATER,146579
GOLD MOUNTAIN CSD,146606
GOLDEN GATE BRIDGE,146631
"GOLDEN HILLS NORTH WIND, LLC",146644
GOLDEN HILLS CSD,146658
GOLDEN HILLS WIND LLC,146659
GOLDEN STATE UTILITY CO.,146660
GOLDEN STATE WATER COMPANY,146661
GOLDEN STATE WATER CO - CCC,146663
GOLDEN STATE WATER COMPANY,146664
"GOLDSIDE, MD-27",146665
GOLDEN STATE WATER CO. 2,146676
GOOGLE,146688
"GOOGLE FIBER CA, LLC",146693
"GOOSE HAVEN ENERGY CENTER, LLC",146699
GOSHEN COMMUNITY SERVICES DISTRICT,146705
GRADUATE THEOLOGICAL UNION,146708
GRANADA SANITARY DIST,146711
GRAND VIEW TERRACE GID,146715
GRAVELY FORD WTR DIST,146724
GREAT OAKS WATER CO.,146730
GREEN RIVER MUTUAL WATER CO.,146732
"GREENFIELD COMMUNICATIONS, INC.",146734
GREENFIELD CO WTR DIST,146737
GREEN HORN CREEK CSD,146743
GREKA,146746
GRIMMWAY ENTERPRISES,146750
GRIZZLY FLATS CSD,146756
